qid	P166	qal585	S854
Q4904074	P166	Q7286513	P585	+1982-11-01T00:00:00Z/11	S854	https://en.wikipedia.org/wiki/List_of_Rajyotsava_Award_recipients_%281981%E2%80%931990%29
Q1248892	P166	Q7286513	P585	+1982-11-01T00:00:00Z/11	S854	https://en.wikipedia.org/wiki/List_of_Rajyotsava_Award_recipients_%281981%E2%80%931990%29
Q5628405	P166	Q7286513	P585	+1982-11-01T00:00:00Z/11	S854	https://en.wikipedia.org/wiki/List_of_Rajyotsava_Award_recipients_%281981%E2%80%931990%29
Q3347911	P166	Q7286513	P585	+1982-11-01T00:00:00Z/11	S854	https://en.wikipedia.org/wiki/List_of_Rajyotsava_Award_recipients_%281981%E2%80%931990%29
Q17495677	P166	Q7286513	P585	+1982-11-01T00:00:00Z/11	S854	https://en.wikipedia.org/wiki/List_of_Rajyotsava_Award_recipients_%281981%E2%80%931990%29
Q121122	P166	Q7286513	P585	+1982-11-01T00:00:00Z/11	S854	https://en.wikipedia.org/wiki/List_of_Rajyotsava_Award_recipients_%281981%E2%80%931990%29
Q7456968	P166	Q7286513	P585	+1982-11-01T00:00:00Z/11	S854	https://en.wikipedia.org/wiki/List_of_Rajyotsava_Award_recipients_%281981%E2%80%931990%29
Q7672679	P166	Q7286513	P585	+1982-11-01T00:00:00Z/11	S854	https://en.wikipedia.org/wiki/List_of_Rajyotsava_Award_recipients_%281981%E2%80%931990%29
Q4661683	P166	Q7286513	P585	+1983-11-01T00:00:00Z/11	S854	https://en.wikipedia.org/wiki/List_of_Rajyotsava_Award_recipients_%281981%E2%80%931990%29
Q4792786	P166	Q7286513	P585	+1983-11-01T00:00:00Z/11	S854	https://en.wikipedia.org/wiki/List_of_Rajyotsava_Award_recipients_%281981%E2%80%931990%29
Q121077	P166	Q7286513	P585	+1983-11-01T00:00:00Z/11	S854	https://en.wikipedia.org/wiki/List_of_Rajyotsava_Award_recipients_%281981%E2%80%931990%29
Q94286514	P166	Q7286513	P585	+1983-11-01T00:00:00Z/11	S854	https://en.wikipedia.org/wiki/List_of_Rajyotsava_Award_recipients_%281981%E2%80%931990%29
Q6380737	P166	Q7286513	P585	+1983-11-01T00:00:00Z/11	S854	https://en.wikipedia.org/wiki/List_of_Rajyotsava_Award_recipients_%281981%E2%80%931990%29
Q6713109	P166	Q7286513	P585	+1983-11-01T00:00:00Z/11	S854	https://en.wikipedia.org/wiki/List_of_Rajyotsava_Award_recipients_%281981%E2%80%931990%29
Q6727256	P166	Q7286513	P585	+1983-11-01T00:00:00Z/11	S854	https://en.wikipedia.org/wiki/List_of_Rajyotsava_Award_recipients_%281981%E2%80%931990%29
Q3519488	P166	Q7286513	P585	+1983-11-01T00:00:00Z/11	S854	https://en.wikipedia.org/wiki/List_of_Rajyotsava_Award_recipients_%281981%E2%80%931990%29
Q1975074	P166	Q7286513	P585	+1983-11-01T00:00:00Z/11	S854	https://en.wikipedia.org/wiki/List_of_Rajyotsava_Award_recipients_%281981%E2%80%931990%29
